score,story,tail_score,name,tail,tail_why,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,gap_h,kn,km_calc,km_gfw,dkm,exact1dp,fish_start,src,vid,flag_calc,flag_gfw
0.0028,0.0051,0.55,ALASKA WARRIOR,ARRIOR,"wide glyph, wrong index",338250000,USA,TRAWLERS,DUTCH HARBOR,16,3,156,12.5,11.73,271.4,260.9,10.5,no,2023-09-04T17:19:52,trawler-slice,321108bc5-565c-55b5-9117-1f56418e31b4,TFCCTF{338250000_dutch harbor_04.09.2023_05:19_PM_271.4},TFCCTF{338250000_dutch harbor_04.09.2023_05:19_PM_260.9}
0.0028,0.0129,0.22,LURONGYU56955,U56955,"wide glyph, wrong index, digits in tail",412330557,CHN,FISHING,SHIDAO,10,3,32,5.1,9.91,93.6,88.8,4.8,no,2023-09-26T14:01:00,longline-slice,ea9d7e9f6-62c8-2ab5-ec45-ced9a10cc828,TFCCTF{412330557_shidao_26.09.2023_02:01_PM_93.6},TFCCTF{412330557_shidao_26.09.2023_02:01_PM_88.8}
0.0028,0.0062,0.45,POPA,POPA,"wide glyph at index 1-2, too short to be cut",701000964,ARG,TRAWLERS,MAR DEL PLATA,21,3,68,7.76,8.65,124.4,118.0,6.4,no,2023-09-08T22:20:40,trawler-slice,0cbaae345-554e-c06d-5c6b-80a5a805cb00,TFCCTF{701000964_mar del plata_08.09.2023_10:20_PM_124.4},TFCCTF{701000964_mar del plata_08.09.2023_10:20_PM_118.0}
0.0028,0.0312,0.09,SAJABI,SAJABI,"no wide glyph, too short to be cut",224762000,ESP,NA,CANSADO,10,2,212,5.14,7.14,68.0,65.8,2.2,no,2023-09-01T19:10:05,agent8-fill,d2b79e123-3535-dcb9-7d43-4b2e97ec28f5,TFCCTF{224762000_cansado_01.09.2023_07:10_PM_68.0},TFCCTF{224762000_cansado_01.09.2023_07:10_PM_65.8}
0.0028,0.0125,0.22,YUEHUILAIYU43456,U43456,"wide glyph, wrong index, digits in tail",412466571,CHN,TRAWLERS,SHENQUAN,8,3,79,5.37,6.12,60.9,54.9,6.0,no,2023-09-05T17:45:18,trawler-slice,e8068428a-a0b1-289b-7291-5c0b751f9a57,TFCCTF{412466571_shenquan_05.09.2023_05:45_PM_60.9},TFCCTF{412466571_shenquan_05.09.2023_05:45_PM_54.9}
0.0027,0.0121,0.22,LULAIZHOUYU66077,U66077,"wide glyph, wrong index, digits in tail",412330986,CHN,TRAWLERS,LUSHAN,15,3,13,5.42,7.05,70.8,67.3,3.5,no,2023-09-13T15:13:52,trawler-slice,a49f31abe-e231-d457-0bc0-6d231a29bdc2,TFCCTF{412330986_lushan_13.09.2023_03:13_PM_70.8},TFCCTF{412330986_lushan_13.09.2023_03:13_PM_67.3}
0.0027,0.0122,0.22,ZHUXIANG1667,NG1667,"wide glyph, wrong index, digits in tail",412461058,CHN,TRAWLERS,HONGKONG,14,4,56,5.19,6.05,58.2,55.9,2.3,no,2023-09-04T12:44:04,trawler-slice,5d1ff67dc-c520-ee1a-70e9-c5505f9fcfb8,TFCCTF{412461058_hongkong_04.09.2023_12:44_PM_58.2},TFCCTF{412461058_hongkong_04.09.2023_12:44_PM_55.9}
0.0027,0.0136,0.2,MARIA CLARA, CLARA,no wide glyph,710019030,BRA,DRIFTING_LONGLINES,NATAL,3,2,50,13.92,6.48,167.0,151.9,15.1,no,2023-09-22T12:59:11,longline-slice,93b26fca7-7742-42dd-758c-11c562a91f04,TFCCTF{710019030_natal_22.09.2023_12:59_PM_167.0},TFCCTF{710019030_natal_22.09.2023_12:59_PM_151.9}
0.0027,0.0121,0.22,YUEXINHUIYU02162,U02162,"wide glyph, wrong index, digits in tail",412462593,CHN,TRAWLERS,ZHUHAI,9,2,34,5.64,9.57,99.9,90.3,9.6,no,2023-09-04T22:43:14,trawler-slice,5a9ec7f3c-c295-62c2-9d6d-b956590494be,TFCCTF{412462593_zhuhai_04.09.2023_10:43_PM_99.9},TFCCTF{412462593_zhuhai_04.09.2023_10:43_PM_90.3}
0.0026,0.0048,0.55,SANT TUDY,T TUDY,"wide glyph, wrong index",660006400,REU,DRIFTING_LONGLINES,REUNION,18,11,88,7.47,7.28,100.6,99.3,1.3,no,2023-09-04T16:33:52,longline-slice,8f3701a72-2d17-7a8d-cbd3-1e1bbd1c514b,TFCCTF{660006400_reunion_04.09.2023_04:33_PM_100.6},TFCCTF{660006400_reunion_04.09.2023_04:33_PM_99.3}
0.0026,0.0048,0.55,MONSTERS,NSTERS,"wide glyph, wrong index",367773470,USA,OTHER_PURSE_SEINES,SEWARD ANCHORAGE,21,3,31,15.57,6.97,201.0,192.1,8.9,no,2023-09-05T14:37:22,agent8-fill,b461c03d6-6999-5b15-c6ce-77795990a5c2,TFCCTF{367773470_seward anchorage_05.09.2023_02:37_PM_201.0},TFCCTF{367773470_seward anchorage_05.09.2023_02:37_PM_192.1}
0.0026,0.0026,1.0,SANTA GRAZIA SECONDA,ECONDA,wide glyph at index 1-2,247122020,ITA,TRAWLERS,GIULIANOVA,48,8,37,4.84,6.13,54.9,53.2,1.7,no,2023-09-10T20:32:43,agent8-fill,f3d4867c5-5f40-d0f2-ce98-216e192348b2,TFCCTF{247122020_giulianova_10.09.2023_08:32_PM_54.9},TFCCTF{247122020_giulianova_10.09.2023_08:32_PM_53.2}
0.0025,0.0025,1.0,ARCTICEXPLORER,PLORER,wide glyph at index 1-2,367108570,USA,TRAWLERS,AKUTAN,36,10,31,6.19,7.21,82.6,80.6,2.0,no,2023-09-01T05:05:14,trawler-slice,cdbffdff6-6a4c-e776-10a7-29a56dcc13fd,TFCCTF{367108570_akutan_01.09.2023_05:05_AM_82.6},TFCCTF{367108570_akutan_01.09.2023_05:05_AM_80.6}
0.0025,0.0046,0.55,LAXE DOS,XE DOS,"wide glyph, wrong index",659432000,NAM,TRAWLERS,WALVIS BAY,17,3,85,8.41,8.53,133.0,144.3,11.3,no,2023-09-01T17:53:50,trawler-slice,624a56b53-3be8-410c-c746-aaee7967b8a0,TFCCTF{659432000_walvis bay_01.09.2023_05:53_PM_133.0},TFCCTF{659432000_walvis bay_01.09.2023_05:53_PM_144.3}
0.0025,0.0025,1.0,REEL DREAM, DREAM,wide glyph at index 1-2,338302664,USA,FISHING,BARNEGAT LIGHTHOUSE,23,7,2,6.84,7.06,89.5,83.3,6.2,no,2023-09-07T14:35:35,agent8-fill,f6bcef4af-fc7e-66f0-3962-223446fafdc9,TFCCTF{338302664_barnegat lighthouse_07.09.2023_02:35_PM_89.5},TFCCTF{338302664_barnegat lighthouse_07.09.2023_02:35_PM_83.3}
0.0025,0.0113,0.22,YUEYANGDONGYU14199,U14199,"wide glyph, wrong index, digits in tail",412462563,CHN,FISHING,ZHUHAI,5,3,55,7.93,7.23,106.1,96.8,9.3,no,2023-09-05T00:01:16,longline-slice,1889077e3-3cd7-2be1-a4bc-1fa0ca38e86b,TFCCTF{412462563_zhuhai_05.09.2023_12:01_AM_106.1},TFCCTF{412462563_zhuhai_05.09.2023_12:01_AM_96.8}
0.0024,0.0111,0.22,ZHELINGYU88025,U88025,"wide glyph, wrong index, digits in tail",412419201,CHN,FISHING,TAIZHOU,5,3,133,5.31,13.21,129.9,120.4,9.5,no,2023-09-04T21:17:11,longline-slice,83a00774e-ede0-db37-bd3f-1dde36f8cb6b,TFCCTF{412419201_taizhou_04.09.2023_09:17_PM_129.9},TFCCTF{412419201_taizhou_04.09.2023_09:17_PM_120.4}
0.0024,0.0061,0.4,SHIN SHUENN JYI NO16,I NO16,"wide glyph at index 1-2, digits in tail",416000826,TWN,SET_GILLNETS,KEELUNG,47,1,85,13.14,6.37,155.1,144.1,11.0,no,2023-09-06T16:08:52,agent8-fill,43ddace22-2bf6-2096-0649-75cc3dea6e26,TFCCTF{416000826_keelung_06.09.2023_04:08_PM_155.1},TFCCTF{416000826_keelung_06.09.2023_04:08_PM_144.1}
0.0024,0.0108,0.22,GUIBEIYU88062,U88062,"wide glyph, wrong index, digits in tail",412502368,CHN,TRAWLERS,ZHUHAI,10,2,22,4.78,11.6,102.8,112.9,10.1,no,2023-09-04T10:58:42,trawler-slice,d04f42002-248a-b583-a30c-adca81f36fac,TFCCTF{412502368_zhuhai_04.09.2023_10:58_AM_102.8},TFCCTF{412502368_zhuhai_04.09.2023_10:58_AM_112.9}
0.0023,0.0042,0.55,MARIA LILIANA,ILIANA,"wide glyph, wrong index",701000645,ARG,TRAWLERS,PUERTO MADRYN,12,4,139,9.08,9.51,159.9,147.9,12.0,no,2023-09-01T22:03:13,trawler-slice,0daa94a5e-eb73-7aea-d2dc-2ffc33723dcd,TFCCTF{701000645_puerto madryn_01.09.2023_10:03_PM_159.9},TFCCTF{701000645_puerto madryn_01.09.2023_10:03_PM_147.9}
0.0023,0.0041,0.55,ALGAMAR,LGAMAR,"wide glyph, wrong index",263413870,PRT,DRIFTING_LONGLINES,VIGO,2,1,14,49.05,7.77,706.1,644.8,61.3,no,2023-09-08T17:28:15,longline-slice,50cdece66-6d94-35db-1d40-d32427c82a47,TFCCTF{263413870_vigo_08.09.2023_05:28_PM_706.1},TFCCTF{263413870_vigo_08.09.2023_05:28_PM_644.8}
0.0022,0.0278,0.08,ZHE PU YU YUN 78530, 78530,"no wide glyph, digits in tail",412421381,CHN,FISHING,NINGBO,12,4,44,4.07,8.62,64.9,65.0,0.1,no,2023-09-11T06:31:53,agent8-fill,f3f5ed3f4-412f-dd0f-c19b-bdc3473eadf0,TFCCTF{412421381_ningbo_11.09.2023_06:31_AM_64.9},TFCCTF{412421381_ningbo_11.09.2023_06:31_AM_65.0}
0.0022,0.0598,0.036,96888,96888,"no wide glyph, digits in tail, too short to be cut",413896888,CHN,TRAWLERS,YANGJIANG,3,1,49,8.07,6.68,99.8,94.0,5.8,no,2023-09-04T15:06:56,trawler-slice,43679dc70-0992-34df-f921-f27364752e8b,TFCCTF{413896888_yangjiang_04.09.2023_03:06_PM_99.8},TFCCTF{413896888_yangjiang_04.09.2023_03:06_PM_94.0}
0.0022,0.0101,0.22,MIN PING YU61586,U61586,"wide glyph, wrong index, digits in tail",412445602,CHN,TRAWLERS,NINGBO,6,1,99,26.58,6.96,342.6,313.2,29.4,no,2023-09-04T22:14:00,agent8-fill,f37a44de0-0be9-9a2d-0cad-342d72bd9db0,TFCCTF{412445602_ningbo_04.09.2023_10:14_PM_342.6},TFCCTF{412445602_ningbo_04.09.2023_10:14_PM_313.2}
0.002,0.0098,0.2,GLOBALPESCA III,CA III,no wide glyph,725000667,CHL,SET_LONGLINES,STANLEY,7,7,178,20.77,10.96,421.5,424.2,2.7,no,2023-09-01T15:39:43,longline-slice,cb421ca09-9742-e449-7ec0-fa62956cf83f,TFCCTF{725000667_stanley_01.09.2023_03:39_PM_421.5},TFCCTF{725000667_stanley_01.09.2023_03:39_PM_424.2}
0.002,0.0049,0.4,HO HSIN HSING NO.601,NO.601,"wide glyph at index 1-2, digits in tail",416004635,TWN,DRIFTING_LONGLINES,PORT LOUIS,1,1,75,67.94,7.07,889.8,848.7,41.1,no,2023-09-02T08:07:11,longline-slice,e27715f49-9076-c496-a205-1620f3fa1180,TFCCTF{416004635_port louis_02.09.2023_08:07_AM_889.8},TFCCTF{416004635_port louis_02.09.2023_08:07_AM_848.7}
0.002,0.0036,0.55,DESTRIERO,TRIERO,"wide glyph, wrong index",247250120,ITA,SET_LONGLINES,CIVITAVECCHIA,20,5,47,4.42,8.48,69.4,62.5,6.9,no,2023-09-09T01:29:20,longline-slice,8f2082340-0c03-bc04-a8ad-ab51a1e38202,TFCCTF{247250120_civitavecchia_09.09.2023_01:29_AM_69.4},TFCCTF{247250120_civitavecchia_09.09.2023_01:29_AM_62.5}
0.0019,0.0019,1.0,F.V. COOK CANYON,CANYON,wide glyph at index 1-2,512000842,NZL,TRAWLERS,GREYMOUTH,34,10,124,18.3,7.15,242.2,238.7,3.5,no,2023-09-01T20:51:07,trawler-slice,1cf65b2bc-c109-65d9-8e27-3f0e87c1553e,TFCCTF{512000842_greymouth_01.09.2023_08:51_PM_242.2},TFCCTF{512000842_greymouth_01.09.2023_08:51_PM_238.7}
0.0019,0.0035,0.55,F/V LIVERPOOL,ERPOOL,"wide glyph, wrong index",227599000,FRA,SET_GILLNETS,ROSCOFF,26,6,85,4.83,8.9,79.6,75.4,4.2,no,2023-09-05T13:04:41,agent8-fill,0095194d3-3ab5-caa3-1e91-4ce79b8deccc,TFCCTF{227599000_roscoff_05.09.2023_01:04_PM_79.6},TFCCTF{227599000_roscoff_05.09.2023_01:04_PM_75.4}
0.0019,0.0236,0.08,LRUT11 7155LSB_A.9,SB_A.9,"no wide glyph, digits in tail",574898211,VNM,FISHING,VUNG TAU,3,2,25,19.67,6.98,254.1,246.2,7.9,no,2023-09-08T14:50:04,longline-slice,8a0dbfefb-bcb6-cfc6-7403-0dcbf4c70214,TFCCTF{574898211_vung tau_08.09.2023_02:50_PM_254.1},TFCCTF{574898211_vung tau_08.09.2023_02:50_PM_246.2}
0.0019,0.0075,0.248,RISOEY,RISOEY,"wide glyph, wrong index, too short to be cut",257324500,NOR,FISHING,MANDAL,10,7,10,5.06,7.22,67.6,64.6,3.0,no,2023-09-09T05:43:48,longline-slice,a4bdd4efe-e538-4d33-d73e-28e216c92513,TFCCTF{257324500_mandal_09.09.2023_05:43_AM_67.6},TFCCTF{257324500_mandal_09.09.2023_05:43_AM_64.6}
0.0019,0.0075,0.248,CARLOS,CARLOS,"wide glyph, wrong index, too short to be cut",361000120,SPM,FIXED_GEAR,MIQUELON,40,2,5,4.19,8.41,65.2,61.1,4.1,no,2023-09-09T05:45:52,agent8-fill,fd020b825-55e5-6923-7965-ca025a6dea66,TFCCTF{361000120_miquelon_09.09.2023_05:45_AM_65.2},TFCCTF{361000120_miquelon_09.09.2023_05:45_AM_61.1}
0.0019,0.0097,0.2,P0NTA D0 GRAVATA,RAVATA,no wide glyph,711616004,,TRAWLERS,RIO GRANDE,14,2,74,13.18,6.3,153.8,145.0,8.8,no,2023-09-01T04:35:56,trawler-slice,63ab39c06-6ea1-221b-40b2-620fa30ec7b1,TFCCTF{711616004_rio grande_01.09.2023_04:35_AM_153.8},TFCCTF{711616004_rio grande_01.09.2023_04:35_AM_145.0}
0.0018,0.0224,0.08,JESSICA 1,SICA 1,"no wide glyph, digits in tail",760066412,PER,POLE_AND_LINE,LA PUNTA ANCHORAGE,12,2,35,4.22,9.38,73.4,76.6,3.2,no,2023-09-04T18:55:47,agent8-fill,a53cd62c0-057d-b38d-e799-79a6cd8ea7dc,TFCCTF{760066412_la punta anchorage_04.09.2023_06:55_PM_73.4},TFCCTF{760066412_la punta anchorage_04.09.2023_06:55_PM_76.6}
0.0018,0.0039,0.45,LONNOY,LONNOY,"wide glyph at index 1-2, too short to be cut",242589300,MAR,TRAWLERS,DAKHLA,37,7,132,8.17,6.74,101.9,100.3,1.6,no,2023-09-02T10:39:21,trawler-slice,a6160fc28-805a-a26b-45b2-27fb80d130b6,TFCCTF{242589300_dakhla_02.09.2023_10:39_AM_101.9},TFCCTF{242589300_dakhla_02.09.2023_10:39_AM_100.3}
0.0018,0.0018,1.0,BLOMEHA,LOMEHA,wide glyph at index 1-2,659190000,NAM,SET_LONGLINES,WALVIS BAY,10,6,108,15.93,8.42,248.4,226.1,22.3,no,2023-09-03T06:13:27,longline-slice,550d2640d-dec1-429b-f463-1054193e941f,TFCCTF{659190000_walvis bay_03.09.2023_06:13_AM_248.4},TFCCTF{659190000_walvis bay_03.09.2023_06:13_AM_226.1}
0.0017,0.0207,0.08,SHUN ZE 777,ZE 777,"no wide glyph, digits in tail",412421179,CHN,FISHING,CALLAO,1,1,76,34.46,8.71,555.8,574.0,18.2,no,2023-09-24T10:56:47,longline-slice,70ffcc415-5344-9a30-c2ca-3b58d7ac46c8,TFCCTF{412421179_callao_24.09.2023_10:56_AM_555.8},TFCCTF{412421179_callao_24.09.2023_10:56_AM_574.0}
0.0017,0.0076,0.22,ROLLING THUNDER 07,DER 07,"wide glyph, wrong index, digits in tail",316011387,CAN,SET_LONGLINES,SAMBRO,18,10,27,4.92,6.32,57.6,57.9,0.3,no,2023-09-02T17:34:33,longline-slice,2461430ef-f8fd-764c-94f4-c97a7ff42c3e,TFCCTF{316011387_sambro_02.09.2023_05:34_PM_57.6},TFCCTF{316011387_sambro_02.09.2023_05:34_PM_57.9}
0.0016,0.0016,1.0,JIN LI CHIEN, CHIEN,wide glyph at index 1-2,416003631,TWN,SET_LONGLINES,KEELUNG,12,10,27,7.8,10.34,149.3,137.1,12.2,no,2023-09-06T13:07:26,longline-slice,7d011ba0d-d917-d6cd-d073-28f4394e4622,TFCCTF{416003631_keelung_06.09.2023_01:07_PM_149.3},TFCCTF{416003631_keelung_06.09.2023_01:07_PM_137.1}
0.0015,0.007,0.22,SHEN LIAN CHENG 785,NG 785,"wide glyph, wrong index, digits in tail",412475113,CHN,DRIFTING_LONGLINES,MAJURO,11,2,168,35.34,7.07,462.5,452.6,9.9,no,2023-09-03T07:20:14,agent8-fill,ff6c52be9-9291-0af1-acf6-daba916445f7,TFCCTF{412475113_majuro_03.09.2023_07:20_AM_462.5},TFCCTF{412475113_majuro_03.09.2023_07:20_AM_452.6}
0.0015,0.0074,0.2,GRAZIELLA,ZIELLA,no wide glyph,249000250,MLT,DRIFTING_LONGLINES,MARSAXLOKK,11,8,6,7.93,6.92,101.7,103.9,2.2,no,2023-09-12T09:59:31,longline-slice,b5c1892bf-f70c-474d-514e-dc0269359840,TFCCTF{249000250_marsaxlokk_12.09.2023_09:59_AM_101.7},TFCCTF{249000250_marsaxlokk_12.09.2023_09:59_AM_103.9}
0.0015,0.0037,0.4,NEPUNE NO 1,E NO 1,"wide glyph at index 1-2, digits in tail",645655000,MUS,DRIFTING_LONGLINES,PORT LOUIS,3,2,59,57.51,6.78,721.9,697.5,24.4,no,2023-09-15T20:40:31,longline-slice,a6fd7eadc-c4f6-b2e1-5dc8-7e730c35b029,TFCCTF{645655000_port louis_15.09.2023_08:40_PM_721.9},TFCCTF{645655000_port louis_15.09.2023_08:40_PM_697.5}
0.0015,0.0037,0.4,ARGENOVA 4,NOVA 4,"wide glyph at index 1-2, digits in tail",701000549,ARG,TRAWLERS,PUERTO DESEADO,15,3,154,17.31,8.24,264.1,248.2,15.9,no,2023-09-04T05:36:25,trawler-slice,b977de2bb-b32d-d7af-18c9-52d71868a6e3,TFCCTF{701000549_puerto deseado_04.09.2023_05:36_AM_264.1},TFCCTF{701000549_puerto deseado_04.09.2023_05:36_AM_248.2}
0.0015,0.0027,0.55,HARVEST GAVINA,GAVINA,"wide glyph, wrong index",601232000,ZAF,TRAWLERS,SALDANHA BAY,24,4,91,6.41,12.03,142.7,131.9,10.8,no,2023-09-01T05:40:51,trawler-slice,5e759fd6b-b6dd-9175-c5fa-5acab04f9de6,TFCCTF{601232000_saldanha bay_01.09.2023_05:40_AM_142.7},TFCCTF{601232000_saldanha bay_01.09.2023_05:40_AM_131.9}
0.0015,0.0037,0.4,JIA JINN CHUEN N0 68, N0 68,"wide glyph at index 1-2, digits in tail",416002122,TWN,DRIFTING_LONGLINES,DONGGANG,8,6,46,18.29,6.0,203.3,191.8,11.5,no,2023-09-13T20:43:23,longline-slice,3455eace4-4f6e-fbd4-623d-742f10695814,TFCCTF{416002122_donggang_13.09.2023_08:43_PM_203.3},TFCCTF{416002122_donggang_13.09.2023_08:43_PM_191.8}
0.0015,0.0183,0.08,IMULA 0752GLE,752GLE,"no wide glyph, digits in tail",417075291,LKA,DRIFTING_LONGLINES,GALLE,3,3,27,5.86,6.52,70.7,77.2,6.5,no,2023-09-09T16:06:40,longline-slice,bf94029e5-55da-d78c-0bdc-7f7bae9f91df,TFCCTF{417075291_galle_09.09.2023_04:06_PM_70.7},TFCCTF{417075291_galle_09.09.2023_04:06_PM_77.2}
0.0014,0.017,0.08,MINFUDINYULENG09999,G09999,"no wide glyph, digits in tail",412441376,CHN,SET_LONGLINES,SHIDAO,9,5,26,4.15,11.59,89.1,87.8,1.3,no,2023-09-11T08:01:14,longline-slice,65af35a49-9ebd-f67b-046c-f5f8104d05eb,TFCCTF{412441376_shidao_11.09.2023_08:01_AM_89.1},TFCCTF{412441376_shidao_11.09.2023_08:01_AM_87.8}
0.0014,0.0056,0.248,MARA I,MARA I,"wide glyph, wrong index, too short to be cut",701000649,ARG,TRAWLERS,PUERTO MADRYN,14,2,135,17.52,8.64,280.4,263.6,16.8,no,2023-09-02T06:48:28,trawler-slice,0620b905b-bd8f-dbac-a3ed-81ac78afd958,TFCCTF{701000649_puerto madryn_02.09.2023_06:48_AM_280.4},TFCCTF{701000649_puerto madryn_02.09.2023_06:48_AM_263.6}
0.0014,0.0026,0.55,HM 110 ROSA LINE,A LINE,"wide glyph, wrong index",219005878,DNK,TRAWLERS,HANSTHOLM,31,11,30,4.81,6.6,58.8,60.7,1.9,no,2023-09-01T03:25:03,trawler-slice,0f2e34723-3e1d-b20d-51d4-185519ec77bd,TFCCTF{219005878_hanstholm_01.09.2023_03:25_AM_58.8},TFCCTF{219005878_hanstholm_01.09.2023_03:25_AM_60.7}
0.0014,0.0172,0.08,ZHE PU YU 19167, 19167,"no wide glyph, digits in tail",412411816,CHN,FIXED_GEAR,NINGBO,5,1,59,19.07,8.66,305.9,285.7,20.2,no,2023-09-05T00:08:50,agent8-fill,7edd0afcf-f38f-f3d7-29c3-543697f4c2cc,TFCCTF{412411816_ningbo_05.09.2023_12:08_AM_305.9},TFCCTF{412411816_ningbo_05.09.2023_12:08_AM_285.7}
0.0014,0.0014,1.0,NICHOLA OF LADRAM,LADRAM,wide glyph at index 1-2,232020583,GBR,FISHING,SALCOMBE,25,16,257,6.83,6.58,83.2,79.1,4.1,no,2023-09-02T05:00:26,longline-slice,c2bdf0b27-732e-0f90-68e9-f18f734e9316,TFCCTF{232020583_salcombe_02.09.2023_05:00_AM_83.2},TFCCTF{232020583_salcombe_02.09.2023_05:00_AM_79.1}
0.0014,0.0026,0.55,MAAN FENG JINN,G JINN,"wide glyph, wrong index",416002535,TWN,SET_LONGLINES,DONGGANG,14,7,53,12.07,7.1,158.8,149.3,9.5,no,2023-09-05T15:18:10,longline-slice,73d894762-22b2-e9cd-b4b0-03a0daf696d9,TFCCTF{416002535_donggang_05.09.2023_03:18_PM_158.8},TFCCTF{416002535_donggang_05.09.2023_03:18_PM_149.3}
0.0014,0.0014,1.0,NICHOLE,ICHOLE,wide glyph at index 1-2,367556830,USA,TRAWLERS,KODIAK,59,12,86,4.23,6.08,47.7,45.8,1.9,no,2023-09-05T22:34:47,trawler-slice,0dd6d3f1c-c7a1-9941-04a4-78ac52c15b48,TFCCTF{367556830_kodiak_05.09.2023_10:34_PM_47.7},TFCCTF{367556830_kodiak_05.09.2023_10:34_PM_45.8}
0.0014,0.0014,1.0,KNOTIN YET,IN YET,wide glyph at index 1-2,316044359,CAN,SET_LONGLINES,LOUISBURG,17,11,60,14.45,6.61,176.8,186.9,10.1,no,2023-09-01T23:59:29,longline-slice,0d710184e-edf2-e13b-76c2-cb26aacd4263,TFCCTF{316044359_louisburg_01.09.2023_11:59_PM_176.8},TFCCTF{316044359_louisburg_01.09.2023_11:59_PM_186.9}
0.0013,0.0058,0.22,ZHEPUYU72355,U72355,"wide glyph, wrong index, digits in tail",412422097,CHN,FISHING,NINGBO,23,5,72,6.36,7.56,89.0,86.0,3.0,no,2023-09-05T19:17:15,longline-slice,5f15ec16c-cced-3f42-3353-6277b7eadc9f,TFCCTF{412422097_ningbo_05.09.2023_07:17_PM_89.0},TFCCTF{412422097_ningbo_05.09.2023_07:17_PM_86.0}
0.0013,0.0362,0.036,010,010,"no wide glyph, digits in tail, too short to be cut",810810888,,TRAWLERS,YANGJIANG,3,1,30,10.6,6.03,118.3,107.4,10.9,no,2023-09-06T10:22:40,trawler-slice,7bd06e4ad-d988-81ae-79b5-623e7cf26684,TFCCTF{810810888_yangjiang_06.09.2023_10:22_AM_118.3},TFCCTF{810810888_yangjiang_06.09.2023_10:22_AM_107.4}
0.0012,0.0055,0.22,DORTE RIXEN L237,N L237,"wide glyph, wrong index, digits in tail",219941000,DNK,SET_GILLNETS,THYBORON,24,5,101,4.69,7.66,66.6,63.5,3.1,no,2023-09-03T13:05:18,agent8-fill,40d469739-9740-f04c-23a6-6c0f9adaca6d,TFCCTF{219941000_thyboron_03.09.2023_01:05_PM_66.6},TFCCTF{219941000_thyboron_03.09.2023_01:05_PM_63.5}
0.0012,0.0053,0.22,LURONGYUYUN56388,N56388,"wide glyph, wrong index, digits in tail",412331319,CHN,FISHING,SHIDAO,7,6,14,6.71,9.87,122.7,114.6,8.1,no,2023-09-17T17:03:10,longline-slice,3b61831e8-82a2-9e3d-d346-571a43cf5a35,TFCCTF{412331319_shidao_17.09.2023_05:03_PM_122.7},TFCCTF{412331319_shidao_17.09.2023_05:03_PM_114.6}
0.0012,0.0056,0.22,ZHU WAN 3938,N 3938,"wide glyph, wrong index, digits in tail",412480743,CHN,TRAWLERS,HONGKONG,24,5,59,4.11,6.99,53.2,50.2,3.0,no,2023-09-04T14:34:18,trawler-slice,e24d1641f-f9f0-f6f6-7b71-8af2196e5ae1,TFCCTF{412480743_hongkong_04.09.2023_02:34_PM_53.2},TFCCTF{412480743_hongkong_04.09.2023_02:34_PM_50.2}
0.0012,0.0029,0.4,INCAMAR 2,AMAR 2,"wide glyph at index 1-2, digits in tail",760038247,PER,OTHER_PURSE_SEINES,TIERRA COLORADA,28,3,61,16.94,6.47,203.1,191.1,12.0,no,2023-09-24T14:55:28,agent8-fill,857bc4736-65e7-88de-2479-09850b75cc82,TFCCTF{760038247_tierra colorada_24.09.2023_02:55_PM_203.1},TFCCTF{760038247_tierra colorada_24.09.2023_02:55_PM_191.1}
0.0012,0.0012,1.0,VUI VUI II,VUI II,wide glyph at index 1-2,367420020,USA,SET_LONGLINES,HONOLULU,5,4,45,41.49,6.94,533.6,487.6,46.0,no,2023-09-06T14:18:12,longline-slice,9665cce4f-f65a-71ed-10b7-4ea12de97322,TFCCTF{367420020_honolulu_06.09.2023_02:18_PM_533.6},TFCCTF{367420020_honolulu_06.09.2023_02:18_PM_487.6}
0.0012,0.0148,0.08,ZHU XIANG 1768,G 1768,"no wide glyph, digits in tail",412468425,CHN,TRAWLERS,HONGKONG,6,2,52,10.31,6.06,115.7,105.9,9.8,no,2023-09-04T22:34:59,trawler-slice,c5e4e2abf-fb5d-9526-fa91-f149d8dee041,TFCCTF{412468425_hongkong_04.09.2023_10:34_PM_115.7},TFCCTF{412468425_hongkong_04.09.2023_10:34_PM_105.9}
0.0012,0.0026,0.45,HOYVIK,HOYVIK,"wide glyph at index 1-2, too short to be cut",231020000,FRO,TRAWLERS,FUGLAFJORDUR,16,3,51,10.75,11.5,229.1,207.0,22.1,no,2023-09-01T21:26:50,trawler-slice,8b9d1f16f-f39a-25bc-186c-42749b04aff3,TFCCTF{231020000_fuglafjordur_01.09.2023_09:26_PM_229.1},TFCCTF{231020000_fuglafjordur_01.09.2023_09:26_PM_207.0}
0.0011,0.0011,1.0,PHIDEAUX,IDEAUX,wide glyph at index 1-2,367548880,USA,TRAWLERS,WANCHESE,56,11,6,4.08,9.42,71.2,67.7,3.5,no,2023-09-21T14:00:34,agent8-fill,f9e00d793-3e03-a8b7-a6d3-5198c2b71001,TFCCTF{367548880_wanchese_21.09.2023_02:00_PM_71.2},TFCCTF{367548880_wanchese_21.09.2023_02:00_PM_67.7}
