score,geartype,name,mmsi,flag,port,km,gfw_nearest_km,kn,gap_h,depart_utc,fish_utc,n_port,n_fish,vessel_id,flag_guess
0.587,TRAWLERS,LOMUR,331191000,GRL,ilulissat,232.2,143.7,9.6,13.1,2023-08-31T14:21:03.000Z,2023-09-01T03:25:32.000Z,,,961ac8fa8-879e-7940-53fc-626439129972,TFCCTF{331191000_ilulissat_01.09.2023_03:25_AM_232.2}
0.586,TRAWLERS,RIO MAU,242328400,MAR,tangier,98.3,95.9,11.0,4.8,2023-09-01T01:03:07.000Z,2023-09-01T05:52:52.000Z,,,73046821e-e329-fb9f-7278-69051e0d0783,TFCCTF{242328400_tangier_01.09.2023_05:52_AM_98.3}
0.586,FISHING,ZHELINGYU13018,412419106,CHN,taizhou,255.1,174.8,11.6,11.9,2023-09-16T07:53:41.000Z,2023-09-16T19:47:09.000Z,,,2686aa941-13b7-355f-cfbc-949863025a06,TFCCTF{412419106_taizhou_16.09.2023_07:47_PM_255.1}
0.586,TRAWLERS,MINFUDINGYU09906,412447683,CHN,ningbo,235.7,153.9,8.7,14.7,2023-09-16T05:38:24.000Z,2023-09-16T20:18:13.000Z,,,809d99fdc-cbba-5190-551d-7f6b93ab1e31,TFCCTF{412447683_ningbo_16.09.2023_08:18_PM_235.7}
0.584,FISHING,ZHEDAIYU15298,412427051,CHN,shanghai,124.2,112.4,8.5,7.9,2023-09-03T08:55:01.000Z,2023-09-03T16:50:58.000Z,,,3cf788089-920d-c436-737f-e5650544c32b,TFCCTF{412427051_shanghai_03.09.2023_04:50_PM_124.2}
0.582,TRAWLERS,ZHELINGYU23748,412419725,CHN,taizhou,275.1,180.3,8.6,17.2,2023-09-16T04:22:12.000Z,2023-09-16T21:35:25.000Z,,,b31500194-4823-ffdd-6ab5-7e929082f6b0,TFCCTF{412419725_taizhou_16.09.2023_09:35_PM_275.1}
0.582,FISHING,MAXIMUS CASTRO,659388000,NAM,walvis bay,599.4,595.8,7.1,45.8,2023-09-27T10:19:43.000Z,2023-09-29T08:05:02.000Z,,,8c9f2937c-c4f7-30b3-9a04-252ae5c5e0b4,TFCCTF{659388000_walvis bay_29.09.2023_08:05_AM_599.4}
0.582,SET_GILLNETS,CHUEN LIAN JYI NO.3,416006938,TWN,kaohsiung,127.2,126.9,7.6,9.1,2023-09-11T11:04:42.000Z,2023-09-11T20:09:46.000Z,,,970735753-34f8-5a22-ec7d-2d5a1e3d6424,TFCCTF{416006938_kaohsiung_11.09.2023_08:09_PM_127.2}
0.582,TRAWLERS,ZHELINGYU94088,412417794,CHN,taizhou,419.2,249.1,10.6,21.4,2023-09-04T09:56:57.000Z,2023-09-05T07:19:52.000Z,,,31d280240-0584-5fdb-2eda-9438354ad54c,TFCCTF{412417794_taizhou_05.09.2023_07:19_AM_419.2}
0.581,TRAWLERS,MINLIANYU61792,412441949,CHN,taizhou,252.5,176.6,8.3,16.5,2023-09-04T10:33:19.000Z,2023-09-05T03:01:43.000Z,,,71a091a47-7dcb-7204-07d8-38c044e273e5,TFCCTF{412441949_taizhou_05.09.2023_03:01_AM_252.5}
0.581,TRAWLERS,ZHEDINGYU11130,412424495,CHN,diashan,332.0,226.5,8.4,21.4,2023-09-05T06:58:50.000Z,2023-09-06T04:20:13.000Z,,,2c4b5da05-593a-74ec-9400-cea8d5026a0b,TFCCTF{412424495_diashan_06.09.2023_04:20_AM_332.0}
0.58,TRAWLERS,ZHELINGYU23475,412417885,CHN,taizhou,258.9,150.8,10.2,13.6,2023-09-16T08:07:42.000Z,2023-09-16T21:45:55.000Z,,,17da2e9cc-c50e-7ba3-c0cc-ef4c4ca2f428,TFCCTF{412417885_taizhou_16.09.2023_09:45_PM_258.9}
0.58,TUNA_PURSE_SEINES,ADRIANA,735058904,ECU,manta,287.2,283.9,7.1,21.9,2023-09-23T04:03:36.000Z,2023-09-24T01:58:01.000Z,,,3d7b3c8fa-a636-ba75-f408-8f86d4e71537,TFCCTF{735058904_manta_24.09.2023_01:58_AM_287.2}
0.579,FIXED_GEAR,1@@@@@@@@@@@@@@@@@@,600930194,,shengsi,208.7,136.2,9.4,12.0,2023-09-02T08:35:04.000Z,2023-09-02T20:35:02.000Z,,,ae0d3909e-e656-4b4a-3c7f-e5e414757048,TFCCTF{600930194_shengsi_02.09.2023_08:35_PM_208.7}
0.578,DRIFTING_LONGLINES,AN WEN FA NO.8,416003301,TWN,keelung,169.7,158.6,7.2,12.7,2023-09-04T22:35:02.000Z,2023-09-05T11:15:50.000Z,,,b12dbfef6-62ff-1651-126b-e79ae47e02fe,TFCCTF{416003301_keelung_05.09.2023_11:15_AM_169.7}
0.578,TRAWLERS,ZHERUIYU12271,412431505,CHN,ruian,253.2,148.2,9.9,13.9,2023-09-16T03:35:55.000Z,2023-09-16T17:27:14.000Z,,,571cfd723-3d26-b26d-b183-4d78e5ae5513,TFCCTF{412431505_ruian_16.09.2023_05:27_PM_253.2}
0.577,TRAWLERS,ZHELINGYU75062,412417652,CHN,taizhou,268.8,229.0,7.5,19.3,2023-09-16T04:40:07.000Z,2023-09-17T00:00:36.000Z,,,44fcf4d0b-bf09-2c3e-fb21-e37f2db4f02f,TFCCTF{412417652_taizhou_17.09.2023_12:00_AM_268.8}
0.577,FISHING,ZHE YU YU YUN 80888,412411558,CHN,songmen,296.6,233.7,7.8,20.6,2023-09-05T04:12:55.000Z,2023-09-06T00:50:00.000Z,,,5144957a8-8a6b-1fcb-e504-8b702a0645e6,TFCCTF{412411558_songmen_06.09.2023_12:50_AM_296.6}
0.576,SET_GILLNETS,707SAM U,440135040,KOR,seogwipo,376.6,286.1,7.9,25.7,2023-09-03T00:04:10.000Z,2023-09-04T01:48:50.000Z,,,a2492fa08-8371-15d4-fb53-010390e87829,TFCCTF{440135040_seogwipo_04.09.2023_01:48_AM_376.6}
0.574,TRAWLERS,HARVEST KROTOA,601512000,ZAF,saldanha bay,87.4,86.8,9.9,4.8,2023-09-01T16:05:08.000Z,2023-09-01T20:51:09.000Z,,,4da1fe675-5ec0-139d-ed51-1be43d70db98,TFCCTF{601512000_saldanha bay_01.09.2023_08:51_PM_87.4}
0.574,FISHING,LUJIAOYUYUN60617,412349036,CHN,qingdao,211.8,139.6,9.0,12.7,2023-09-07T07:05:56.000Z,2023-09-07T19:50:34.000Z,,,18cb0646a-a697-86b8-77b4-b22aa2c8dcda,TFCCTF{412349036_qingdao_07.09.2023_07:50_PM_211.8}
0.574,DRIFTING_LONGLINES,ILLA GAVEIRA,224154000,ESP,orakei,445.4,318.1,8.1,29.6,2023-09-10T02:34:23.000Z,2023-09-11T08:09:12.000Z,,,11872541b-bcae-3d93-abad-7cfa0921dd11,TFCCTF{224154000_orakei_11.09.2023_08:09_AM_445.4}
0.574,NA,GUIBEIYU 9,9102562,,yangjiang,170.7,129.4,8.6,10.8,2023-09-04T07:31:48.000Z,2023-09-04T18:18:31.000Z,,,49802b752-29c2-90f3-0767-6169b9ccbf42,TFCCTF{9102562_yangjiang_04.09.2023_06:18_PM_170.7}
0.573,TRAWLERS,GUIQINYU12228,412503213,CHN,yangjiang,173.5,122.8,10.4,9.0,2023-09-04T09:16:43.000Z,2023-09-04T18:16:10.000Z,,,2035c7271-1227-62aa-a99b-d1f768ef895d,TFCCTF{412503213_yangjiang_04.09.2023_06:16_PM_173.5}
0.573,FISHING,JIN CAI MAN NO.1,416004415,TWN,gengfang,142.7,114.0,9.0,8.5,2023-09-05T02:07:12.000Z,2023-09-05T10:38:44.000Z,,,57da54432-234c-0de5-9600-7ddd77a7f02e,TFCCTF{416004415_gengfang_05.09.2023_10:38_AM_142.7}
0.571,TRAWLERS,SUGANYU05688,500005688,,zhoushan,332.0,231.3,8.2,21.8,2023-09-03T01:12:03.000Z,2023-09-03T23:01:30.000Z,,,1dd06e468-8a87-84aa-e26a-19ad8d28cc15,TFCCTF{500005688_zhoushan_03.09.2023_11:01_PM_332.0}
0.57,TRAWLERS,SU GAN YU 04669,413004669,CHN,zhoushan,308.0,205.6,8.4,19.8,2023-09-03T04:28:42.000Z,2023-09-04T00:14:42.000Z,,,3e18c7c81-1be3-b5d6-c424-00b659206559,TFCCTF{413004669_zhoushan_04.09.2023_12:14_AM_308.0}
0.57,TRAWLERS,ZHELINGYU23502,412417917,CHN,taizhou,272.2,179.7,8.5,17.4,2023-09-16T04:48:14.000Z,2023-09-16T22:09:48.000Z,,,ab78740b7-7048-39ce-fd7c-6acae994bb82,TFCCTF{412417917_taizhou_16.09.2023_10:09_PM_272.2}
0.569,TRAWLERS,ZHELINGYU28838,412417654,CHN,taizhou,285.5,170.7,10.9,14.2,2023-09-16T08:33:11.000Z,2023-09-16T22:43:17.000Z,,,297310684-49e4-5bb9-6aba-92f93ef0d956,TFCCTF{412417654_taizhou_16.09.2023_10:43_PM_285.5}
0.569,TRAWLERS,1234,413000366,CHN,yangjiang,115.0,100.2,9.4,6.6,2023-09-05T03:59:23.000Z,2023-09-05T10:35:52.000Z,,,94b62e019-9db8-f5d1-3be3-f0fcaee04079,TFCCTF{413000366_yangjiang_05.09.2023_10:35_AM_115.0}
0.569,TRAWLERS,ZHELINGYU259,420338888,,taizhou,270.0,226.5,7.5,19.4,2023-09-16T04:30:42.000Z,2023-09-16T23:55:46.000Z,,,6df402414-40d0-d6f9-9850-9edc624d4d4c,TFCCTF{420338888_taizhou_16.09.2023_11:55_PM_270.0}
0.568,FISHING,LURONGYU71189,412329700,CHN,shidao,94.0,89.9,10.4,4.9,2023-09-07T18:28:09.000Z,2023-09-07T23:22:24.000Z,,,b07065957-715d-6743-62f5-01d700b3da3f,TFCCTF{412329700_shidao_07.09.2023_11:22_PM_94.0}
0.568,INCONCLUSIVE,ZHEDAIYU02426,412420614,CHN,yangshan,228.6,174.9,7.8,15.8,2023-09-16T04:56:46.000Z,2023-09-16T20:44:05.000Z,,,5ad567479-9201-74d2-f626-875f6822b425,TFCCTF{412420614_yangshan_16.09.2023_08:44_PM_228.6}
0.568,DRIFTING_LONGLINES,LE GRAND MORNE,660000300,REU,reunion,254.2,255.2,7.0,19.6,2023-09-20T04:47:56.000Z,2023-09-21T00:24:06.000Z,,,8c01fe0aa-a545-95d6-c32a-dacc2d07e52e,TFCCTF{660000300_reunion_21.09.2023_12:24_AM_254.2}
0.567,TRAWLERS,ZOGI,659010000,NAM,walvis bay,115.2,114.9,7.8,8.0,2023-09-01T22:42:24.000Z,2023-09-02T06:39:31.000Z,,,77842c62f-f065-a9b2-924c-ebc5f22056a4,TFCCTF{659010000_walvis bay_02.09.2023_06:39_AM_115.2}
0.567,TRAWLERS,ZHEYUYU82209,412414706,CHN,ganjiang,260.5,222.7,7.4,18.9,2023-09-16T04:28:45.000Z,2023-09-16T23:24:02.000Z,,,54d294ea9-9152-5525-50be-c9f88c0ccc81,TFCCTF{412414706_ganjiang_16.09.2023_11:24_PM_260.5}
0.566,TRAWLERS,UK2 ADRIAANTJE,244381000,NLD,thyboron,103.9,97.3,8.9,6.3,2023-09-04T04:35:01.000Z,2023-09-04T10:52:02.000Z,,,79a134942-2de5-dc8b-02a3-eef887e02c85,TFCCTF{244381000_thyboron_04.09.2023_10:52_AM_103.9}
0.565,FISHING,ZHELINGYU93061,412416195,CHN,taizhou,256.5,178.4,8.2,16.9,2023-09-04T10:22:29.000Z,2023-09-05T03:19:13.000Z,,,4806b5865-5260-e272-11fc-1c4d648743fb,TFCCTF{412416195_taizhou_05.09.2023_03:19_AM_256.5}
0.564,TRAWLERS,F.V. OCEAN PIONEER,512392000,NZL,bluff,502.7,491.1,7.0,38.6,2023-08-31T05:28:58.000Z,2023-09-01T20:04:26.000Z,,,41a98a2e0-0fbb-3d26-4b71-6d4266443a82,TFCCTF{512392000_bluff_01.09.2023_08:04_PM_502.7}
0.563,DRIFTING_LONGLINES,CALIBRE,503798600,AUS,ulladulla,124.7,119.7,7.8,8.7,2023-09-02T06:34:23.000Z,2023-09-02T15:13:28.000Z,,,8df1defc2-20ce-9172-2a54-22eec51ff0ea,TFCCTF{503798600_ulladulla_02.09.2023_03:13_PM_124.7}
0.563,TRAWLERS,ZHEDINGYU12133,412424508,CHN,zhoushan,363.8,220.4,8.9,22.0,2023-09-04T08:26:03.000Z,2023-09-05T06:27:04.000Z,,,7eb22cce0-0db2-4380-5d1a-5bf89029d862,TFCCTF{412424508_zhoushan_05.09.2023_06:27_AM_363.8}
0.563,TRAWLERS,ZHELINGYU69236,412417776,CHN,songmen,304.2,263.1,7.4,22.3,2023-09-16T04:44:37.000Z,2023-09-17T03:00:29.000Z,,,9cd0e6f78-8555-20cb-206d-ac1a95eb1630,TFCCTF{412417776_songmen_17.09.2023_03:00_AM_304.2}
0.562,TRAWLERS,SAAMI,273380430,RUS,retinskoe,280.4,226.8,12.4,12.2,2023-08-31T20:02:07.000Z,2023-09-01T08:13:50.000Z,,,1272e7b6f-f6c9-012b-3d08-8d021c11f257,TFCCTF{273380430_retinskoe_01.09.2023_08:13_AM_280.4}
0.561,TRAWLERS,ZHELINGYU28918,412416436,CHN,taizhou,302.3,175.9,9.2,17.7,2023-09-16T04:02:38.000Z,2023-09-16T21:42:20.000Z,,,5906870af-f286-267c-c76c-ee2133345915,TFCCTF{412416436_taizhou_16.09.2023_09:42_PM_302.3}
0.561,TRAWLERS,LUCA MARIO,701042000,ARG,mar del plata,340.5,313.1,12.8,14.3,2023-09-15T21:18:49.000Z,2023-09-16T11:39:49.000Z,,,a70e1cbba-a2eb-73c3-39a2-6635cad8f28d,TFCCTF{701042000_mar del plata_16.09.2023_11:39_AM_340.5}
0.561,TRAWLERS,SEVRYBA-1,273523100,RUS,murmansk,243.2,148.5,11.1,11.8,2023-08-31T23:43:35.000Z,2023-09-01T11:33:36.000Z,,,15c12c269-9a52-a9c7-d8ae-8777b6460934,TFCCTF{273523100_murmansk_01.09.2023_11:33_AM_243.2}
0.56,TRAWLERS,66780,412066780,CHN,taizhou,273.3,154.5,9.6,15.4,2023-09-05T02:07:53.000Z,2023-09-05T17:29:18.000Z,,,b0e234243-331d-1521-d027-5e9a93a57e65,TFCCTF{412066780_taizhou_05.09.2023_05:29_PM_273.3}
0.559,TRAWLERS,ZHELINGYU29847,412419527,CHN,taizhou,305.3,172.4,10.4,15.9,2023-09-16T08:43:26.000Z,2023-09-17T00:36:18.000Z,,,a74f9c06f-feb1-4cd6-a207-e858ca0c5cf2,TFCCTF{412419527_taizhou_17.09.2023_12:36_AM_305.3}
0.559,FISHING,ZHESHENGYULENG80006,412427783,CHN,shanghai,371.8,321.0,7.4,27.3,2023-09-03T13:51:07.000Z,2023-09-04T17:06:29.000Z,,,b2377ba48-8e92-21e6-0e4f-389cb6e5c78f,TFCCTF{412427783_shanghai_04.09.2023_05:06_PM_371.8}
0.559,POLE_AND_LINE,37BUGYUNG,440126270,KOR,seogwipo,183.1,172.7,7.1,13.9,2023-08-31T21:05:12.000Z,2023-09-01T10:59:42.000Z,,,0a49ad5b7-7f31-3b8d-f593-6170a963ec3a,TFCCTF{440126270_seogwipo_01.09.2023_10:59_AM_183.1}
0.558,TRAWLERS,AISB,9020543,,zhoushan,383.1,263.2,8.2,25.3,2023-09-03T14:57:07.000Z,2023-09-04T16:14:47.000Z,,,87eb8a7f4-4f4b-aff4-3766-4279a0be6359,TFCCTF{9020543_zhoushan_04.09.2023_04:14_PM_383.1}
0.558,SET_GILLNETS,100G0RAE,440701310,KOR,seogwipo,379.0,287.0,7.8,26.3,2023-09-03T00:47:29.000Z,2023-09-04T03:03:41.000Z,,,721e97b5f-f313-2d1b-d67d-93e6afc96105,TFCCTF{440701310_seogwipo_04.09.2023_03:03_AM_379.0}
0.557,FISHING,MIN SHI YU,412003676,CHN,yuhuan,190.4,130.8,8.9,11.5,2023-09-04T02:42:25.000Z,2023-09-04T14:13:52.000Z,,,278e7de80-0a87-89b6-7c0b-788f5b2646c4,TFCCTF{412003676_yuhuan_04.09.2023_02:13_PM_190.4}
0.556,FISHING,ZHEXIANGYU49333,412435476,CHN,lusi,242.2,157.3,8.4,15.5,2023-09-03T13:00:38.000Z,2023-09-04T04:31:57.000Z,,,47347072f-fa0b-2ea9-3b6a-f12c124d18e5,TFCCTF{412435476_lusi_04.09.2023_04:31_AM_242.2}
0.556,TRAWLERS,ZHELINGYU26903,412416994,CHN,taizhou,290.0,183.5,11.4,13.7,2023-09-16T08:08:52.000Z,2023-09-16T21:50:18.000Z,,,ae4421289-9e0e-c4d2-0a15-e0aaaf4c1bf8,TFCCTF{412416994_taizhou_16.09.2023_09:50_PM_290.0}
0.555,NA,ZHELINGYU23921,990223921,,taizhou,243.4,147.7,8.9,14.7,2023-09-16T08:13:17.000Z,2023-09-16T22:58:03.000Z,,,95e83bf7e-e68b-1197-3009-45d357999c0d,TFCCTF{990223921_taizhou_16.09.2023_10:58_PM_243.4}
0.555,FIXED_GEAR,LIAOYINGYU26797,412326797,CHN,sheyang,226.6,150.6,8.3,14.7,2023-09-09T21:10:57.000Z,2023-09-10T11:55:37.000Z,,,37f7841d4-4bc5-b618-3464-078b60bda2bc,TFCCTF{412326797_sheyang_10.09.2023_11:55_AM_226.6}
0.555,TRAWLERS,SUENO REAL,701007001,ARG,mar del plata,98.4,90.8,10.3,5.1,2023-09-09T15:45:03.000Z,2023-09-09T20:53:25.000Z,,,5d6e5ee82-2b76-0954-bc44-dd4ad14bc611,TFCCTF{701007001_mar del plata_09.09.2023_08:53_PM_98.4}
0.555,TUNA_PURSE_SEINES,JABBUK,538060020,MHL,majuro,182.0,179.8,7.0,14.1,2023-09-07T03:03:57.000Z,2023-09-07T17:11:00.000Z,,,36f79ad3e-e9b7-9035-2518-38ea629911a5,TFCCTF{538060020_majuro_07.09.2023_05:11_PM_182.0}
0.554,TRAWLERS,OMEGA,273438390,RUS,murmansk,398.5,337.4,7.4,29.1,2023-09-26T13:17:36.000Z,2023-09-27T18:23:09.000Z,,,9eb102198-856d-548c-4331-ee4e128662d8,TFCCTF{273438390_murmansk_27.09.2023_06:23_PM_398.5}
0.554,TRAWLERS,17126,600929991,,taizhou,469.6,325.2,8.1,31.3,2023-09-03T15:40:28.000Z,2023-09-04T22:56:29.000Z,,,5a7185788-8b6b-729a-b5b2-be7f19183e84,TFCCTF{600929991_taizhou_04.09.2023_10:56_PM_469.6}
0.554,TRAWLERS,ZHELINGYU23652,412419787,CHN,taizhou,296.7,191.3,11.6,13.9,2023-09-16T08:21:12.000Z,2023-09-16T22:12:37.000Z,,,47076d47e-e139-fbb0-fd1d-6c1134fd0e2f,TFCCTF{412419787_taizhou_16.09.2023_10:12_PM_296.7}
0.554,TRAWLERS,ZHELINGYU23548,412416515,CHN,taizhou,250.1,180.0,8.0,17.0,2023-09-16T04:53:36.000Z,2023-09-16T21:52:31.000Z,,,a15e1ed77-747e-176b-d316-5f9d1bd78970,TFCCTF{412416515_taizhou_16.09.2023_09:52_PM_250.1}
0.554,SET_LONGLINES,MAAN FENG JINN,416002535,TWN,donggang,158.8,149.3,7.1,12.1,2023-09-05T03:13:44.000Z,2023-09-05T15:18:10.000Z,,,73d894762-22b2-e9cd-b4b0-03a0daf696d9,TFCCTF{416002535_donggang_05.09.2023_03:18_PM_158.8}
0.553,FISHING,ZHEYUYU32889,412415384,CHN,ningbo,301.0,276.5,7.2,22.7,2023-09-04T07:32:21.000Z,2023-09-05T06:15:35.000Z,,,0470383f5-5486-f7f1-2deb-a34dd75265c3,TFCCTF{412415384_ningbo_05.09.2023_06:15_AM_301.0}
0.552,FISHING,ZHERUIYU01567,412431798,CHN,ruian,316.5,208.8,8.3,20.6,2023-09-16T03:35:22.000Z,2023-09-17T00:08:57.000Z,,,0856a9245-52e2-2aaa-446a-a67fbb07db68,TFCCTF{412431798_ruian_17.09.2023_12:08_AM_316.5}
0.552,TRAWLERS,ZHELINGYU23679,412418115,CHN,taizhou,246.6,144.1,10.5,12.7,2023-09-16T09:04:30.000Z,2023-09-16T21:44:13.000Z,,,15fe28502-2c61-d533-ba42-2b685603d811,TFCCTF{412418115_taizhou_16.09.2023_09:44_PM_246.6}
0.551,FISHING,ZHELINGYU18036,412418455,CHN,taizhou,222.2,154.0,8.1,14.8,2023-09-04T05:01:57.000Z,2023-09-04T19:52:34.000Z,,,7ab1c3d16-6ec6-fb35-7640-77c8ce6de2f0,TFCCTF{412418455_taizhou_04.09.2023_07:52_PM_222.2}
0.551,TRAWLERS,=TAZIA2,242132100,MAR,tangier,83.0,93.1,10.3,4.4,2023-08-31T21:12:34.000Z,2023-09-01T01:34:25.000Z,,,61b63728f-f1ab-8032-9e14-05c872431c0e,TFCCTF{242132100_tangier_01.09.2023_01:34_AM_83.0}
0.55,FISHING,QJ,412000655,CHN,taizhou,419.6,234.9,9.5,23.9,2023-09-04T09:23:29.000Z,2023-09-05T09:17:05.000Z,,,3c7e19c5f-f617-270d-5cf4-1c10ca260a86,TFCCTF{412000655_taizhou_05.09.2023_09:17_AM_419.6}
0.55,TRAWLERS,ZHELINGYU96090,412416501,CHN,taizhou,442.0,245.7,10.4,22.9,2023-09-04T16:46:11.000Z,2023-09-05T15:41:19.000Z,,,7c285d706-6e0c-d686-1409-63abb1a754c6,TFCCTF{412416501_taizhou_05.09.2023_03:41_PM_442.0}
0.549,FISHING,ZHELINGYU69169,412418104,CHN,taizhou,443.0,244.6,9.7,24.7,2023-09-04T15:57:18.000Z,2023-09-05T16:36:33.000Z,,,84b73dbf6-6c19-3fa3-e3bd-afd9b76152f7,TFCCTF{412418104_taizhou_05.09.2023_04:36_PM_443.0}
0.549,TRAWLERS,PARADANTA PRIMERO,224378000,ESP,stanley,230.9,213.5,7.1,17.5,2023-09-03T18:33:59.000Z,2023-09-04T12:06:10.000Z,,,6f912b524-426d-e3b4-5ba0-8922681021f8,TFCCTF{224378000_stanley_04.09.2023_12:06_PM_230.9}
0.548,TRAWLERS,MIN LONG YU 66706,412444622,CHN,taizhou,245.7,146.5,9.0,14.7,2023-09-05T02:13:36.000Z,2023-09-05T16:56:07.000Z,,,455ff750d-d297-00fc-828a-354844697d0c,TFCCTF{412444622_taizhou_05.09.2023_04:56_PM_245.7}
0.548,FIXED_GEAR,868MANSEON,440318130,KOR,seogwipo,384.5,288.1,7.8,26.7,2023-09-03T00:53:20.000Z,2023-09-04T03:37:41.000Z,,,b5f71a28b-bbe0-ce19-6ace-f73e3e50bb02,TFCCTF{440318130_seogwipo_04.09.2023_03:37_AM_384.5}
0.548,SET_LONGLINES,NATSUMARU,431006224,JPN,naha,129.1,108.4,8.7,8.0,2023-09-06T20:45:34.000Z,2023-09-07T04:45:04.000Z,,,8fed0bb7f-fe72-d7e9-fe37-073f7f8173b3,TFCCTF{431006224_naha_07.09.2023_04:45_AM_129.1}
0.548,TRAWLERS,ZHEXIANGYU10153,412437995,CHN,shipu,221.5,135.2,9.7,12.3,2023-09-16T12:38:08.000Z,2023-09-17T00:55:46.000Z,,,aa9107520-0912-3417-169c-16ac7d47a173,TFCCTF{412437995_shipu_17.09.2023_12:55_AM_221.5}
0.547,TRAWLERS,ZHELINGYU13067,100917142,,taizhou,422.2,248.9,8.9,25.6,2023-09-04T15:50:13.000Z,2023-09-05T17:25:23.000Z,,,1eea302f5-5e10-a4d3-8c7c-39f1f04de4dd,TFCCTF{100917142_taizhou_05.09.2023_05:25_PM_422.2}
0.547,FISHING,LRUT11 7155LSB_A.9,574898211,VNM,vung tau,254.1,246.2,7.0,19.7,2023-09-07T19:10:03.000Z,2023-09-08T14:50:04.000Z,,,8a0dbfefb-bcb6-cfc6-7403-0dcbf4c70214,TFCCTF{574898211_vung tau_08.09.2023_02:50_PM_254.1}
0.545,TRAWLERS,ZHELINGYU26860,412416521,CHN,taizhou,438.7,248.0,9.2,25.7,2023-09-04T15:19:24.000Z,2023-09-05T16:59:03.000Z,,,a8480a072-25e0-1583-22d8-b5a031fad960,TFCCTF{412416521_taizhou_05.09.2023_04:59_PM_438.7}
0.544,SET_LONGLINES,SHENG FU NO.16,416000357,TWN,suao,169.1,119.5,9.3,9.9,2023-09-13T10:25:18.000Z,2023-09-13T20:16:32.000Z,,,2cea3a22b-b600-b11f-567c-7b11b50fd3d1,TFCCTF{416000357_suao_13.09.2023_08:16_PM_169.1}
0.544,FISHING,ZHEXIANGYU29712,412439714,CHN,shipu,355.9,276.5,7.6,25.2,2023-09-05T09:25:46.000Z,2023-09-06T10:40:06.000Z,,,9641287da-a333-2298-bd59-72aaae2809f9,TFCCTF{412439714_shipu_06.09.2023_10:40_AM_355.9}
0.544,SET_GILLNETS,11 TAE YANG,440088480,KOR,guryongpo,89.2,88.3,9.0,5.4,2023-09-01T20:07:39.000Z,2023-09-02T01:30:11.000Z,,,1035ab55d-d83e-d503-1de4-12bd9a4a924e,TFCCTF{440088480_guryongpo_02.09.2023_01:30_AM_89.2}
0.543,FISHING,AL=ARFAT,422037820,IRN,chabahar,180.2,151.7,7.4,13.2,2023-09-18T16:06:30.000Z,2023-09-19T05:20:21.000Z,,,7b44c7807-7440-0ea6-2332-d74f6d336ed5,TFCCTF{422037820_chabahar_19.09.2023_05:20_AM_180.2}
0.543,TUNA_PURSE_SEINES,FULL FORTUNE 301,510200000,FSM,majuro,586.3,373.2,11.6,27.3,2023-09-10T23:55:30.000Z,2023-09-12T03:13:13.000Z,,,57bcf8929-959f-c2f8-44b0-3a823aa52cef,TFCCTF{510200000_majuro_12.09.2023_03:13_AM_586.3}
0.542,TRAWLERS,ZHELINGYU23418,412417638,CHN,taizhou,292.3,178.6,11.4,13.9,2023-09-16T08:30:21.000Z,2023-09-16T22:21:55.000Z,,,2b6fddad7-7356-a7b1-3ac3-1a64517ab007,TFCCTF{412417638_taizhou_16.09.2023_10:21_PM_292.3}
0.541,TRAWLERS,ZHEFENGYU18055,412438851,CHN,zhoushan,288.0,157.2,9.6,16.1,2023-09-18T04:17:28.000Z,2023-09-18T20:25:19.000Z,,,1a13ca130-0c84-4c3a-0bd2-01cd397b3c5a,TFCCTF{412438851_zhoushan_18.09.2023_08:25_PM_288.0}
0.54,FISHING,11588,412888881,CHN,zhuhai,125.2,116.3,7.9,8.6,2023-09-05T07:15:13.000Z,2023-09-05T15:51:51.000Z,,,930774d7e-ea80-425c-2bbf-256d65392882,TFCCTF{412888881_zhuhai_05.09.2023_03:51_PM_125.2}
0.54,FISHING,WAN XIN 87,412549385,CHN,ningbo,436.0,242.6,9.3,25.3,2023-09-20T07:44:41.000Z,2023-09-21T09:03:02.000Z,,,11f9984dc-cfd8-0227-2922-e866b8db97c0,TFCCTF{412549385_ningbo_21.09.2023_09:03_AM_436.0}
0.54,FISHING,MIN XIA YU 1909,412449048,CHN,sansha,289.8,178.0,8.6,18.3,2023-09-06T12:46:17.000Z,2023-09-07T07:03:00.000Z,,,7f868d3d7-7796-6f69-d3e7-afaacac65388,TFCCTF{412449048_sansha_07.09.2023_07:03_AM_289.8}
0.539,FISHING,ZHEXIANGYU25330,100921015,,shipu,333.6,248.5,7.7,23.3,2023-09-06T16:16:32.000Z,2023-09-07T15:35:16.000Z,,,11164f944-4a9b-12e4-2b94-438a6f4cd5ab,TFCCTF{100921015_shipu_07.09.2023_03:35_PM_333.6}
0.539,TRAWLERS,ZHELINGYU26860,100917103,,taizhou,430.5,248.1,9.0,25.9,2023-09-04T15:33:00.000Z,2023-09-05T17:28:30.000Z,,,0cbac24a9-96bf-3654-839e-c9c860a5c9e7,TFCCTF{100917103_taizhou_05.09.2023_05:28_PM_430.5}
0.539,TRAWLERS,SALVADOR R,701006409,ARG,mar del plata,209.3,208.4,6.9,16.5,2023-09-07T15:03:36.000Z,2023-09-08T07:31:11.000Z,,,3e1948598-8f20-eab0-184e-0325bada32a0,TFCCTF{701006409_mar del plata_08.09.2023_07:31_AM_209.3}
